,Open,High,Low,Close,Volume
2014-10-31T00:00:00.000,88.7,100.67,82.81,98.6,441708953
2014-11-28T00:00:00.000,99.67,120,99.05,111.64,772586459
2014-12-31T00:00:00.000,110.02,111.68,101.2,103.94,355328508
2015-01-30T00:00:00.000,104.24,105.3399,87.36,89.08,379525849
2015-02-27T00:00:00.000,91.13,91.88,83.88,85.12,253882675
2015-03-31T00:00:00.000,85,87.04,80.03,83.24,388629425
2015-04-30T00:00:00.000,83.37,87.69,80.4399,81.29,336957763
2015-05-29T00:00:00.000,81.03,95.06,77.77,89.32,457067741
2015-06-30T00:00:00.000,90.09,91.6,80.8,82.27,248091060
2015-07-31T00:00:00.000,82.6,85.38,76.21,78.34,255379375
2015-08-31T00:00:00.000,78.2,80.99,58,66.12,381205945
2015-09-30T00:00:00.000,64.58,68.08,57.2,58.97,455063420
2015-10-30T00:00:00.000,59.5,84.44,58.2,83.83,387907533
2015-11-30T00:00:00.000,83.52,86.42,75.64,84.08,465918043
2015-12-31T00:00:00.000,83.77,85.82,78.99,81.27,313842645
2016-01-29T00:00:00.000,78.18,78.68,65.34,67.03,350723599
2016-02-29T00:00:00.000,66.5,70.58,59.25,68.81,314493127
2016-03-31T00:00:00.000,70.02,79.84,69.86,79.03,231331767
2016-04-29T00:00:00.000,78.24,85.89,75.66,76.94,215841293
2016-05-31T00:00:00.000,76.89,82.03,74.12,82,376860709
2016-06-30T00:00:00.000,79.15,80.14,73.3,79.53,375800595
2016-07-29T00:00:00.000,79.12,85,77.68,82.48,205159741
2016-08-31T00:00:00.000,82.79,98.86,82.59,97.19,450521042
2016-09-30T00:00:00.000,97.3,109.87,97,105.79,420541516
2016-10-31T00:00:00.000,105.45,109,99,101.69,240078790
2016-11-30T00:00:00.000,100.43,104.1,87.88,94.02,330513400
2016-12-30T00:00:00.000,94,94.055,86.01,87.81,218082487
2017-01-31T00:00:00.000,89,104.57,88.08,101.31,239134550
2017-02-28T00:00:00.000,102.07,105.2,100.02,102.9,160485323
2017-03-31T00:00:00.000,103.68,110.45,102.1,107.83,205435679
2017-04-28T00:00:00.000,108.85,115.99,106.76,115.5,171508241
2017-05-31T00:00:00.000,115.63,126.4,114,122.46,277875098
2017-06-30T00:00:00.000,122.82,148.29,122.26,140.9,544291336
2017-07-31T00:00:00.000,141.75,160.39,139.495,154.95,271875846
2017-08-31T00:00:00.000,156.25,177,147.5,171.74,472118023
2017-09-29T00:00:00.000,171.99,180.87,166.79,172.71,362822642
2017-10-31T00:00:00.000,174.57,185.12,168.58,184.89,335174368
2017-11-30T00:00:00.000,187.88,191.75,173.62,177.08,419665182
2017-12-29T00:00:00.000,175.27,180.68,164.25,172.43,416196108
2018-01-31T00:00:00.000,176.399,206.2,175.7,204.29,445133368
2018-02-28T00:00:00.000,192.75,199.49,168.88,186.14,445029521
2018-03-29T00:00:00.000,186.18,201.5,175.45,183.54,382834746
2018-04-30T00:00:00.000,182.81,183.63,166.13,178.54,323617278
2018-05-31T00:00:00.000,177.58,202.28,175.77,198.01,412790720
2018-06-29T00:00:00.000,199.5,211.7,182.04,185.53,408887733
2018-07-31T00:00:00.000,181.66,198.35,181.06,187.23,321804405
2018-08-31T00:00:00.000,186,189.06,165.39,175.01,605664280
2018-09-28T00:00:00.000,173.5,173.95,152.85,164.76,433318007
2018-10-31T00:00:00.000,165.92,165.95,130.06,142.28,544315498
2018-11-30T00:00:00.000,144.98,160.86,138.62,160.86,456395986
2018-12-31T00:00:00.000,168.64,168.8,129.77,137.07,344562766
2019-01-31T00:00:00.000,134.13,169.73,129.83,168.49,361426233
2019-02-28T00:00:00.000,168,184.93,163.75,183.03,223664541
2019-03-29T00:00:00.000,185.09,188.08,171.565,182.45,233498823
2019-04-30T00:00:00.000,185.09,189.79,176.76,185.57,260691920
2019-05-31T00:00:00.000,186.75,195.72,147.95,149.26,511793591
2019-06-28T00:00:00.000,149.6,171.98,148.845,169.45,431888593
2019-07-31T00:00:00.000,175.865,179.88,165,173.11,356339925
2019-08-30T00:00:00.000,174.54,178.8,151.85,175.03,405012202
2019-09-30T00:00:00.000,173,184.13,163.15,167.23,246984447
2019-10-31T00:00:00.000,168.01,179.64,161.68,176.67,261159493
2019-11-29T00:00:00.000,179.01,200.98,176.06,200,408589636
2019-12-31T00:00:00.000,198.58,218.11,189.85,212.1,300669495
2020-01-31T00:00:00.000,216.6,231.14,199.5,206.59,302997673
2020-02-28T00:00:00.000,208.67,226.7,198.561,208,327996441
2020-03-31T00:00:00.000,208.59,215.15,169.95,194.48,439406831
2020-04-30T00:00:00.000,189.5,216.1,185.04,202.67,329072096
2020-05-29T00:00:00.000,195.75,221.157,189.53,207.39,503534951
2020-06-30T00:00:00.000,205.9,231.03,203.94,215.7,333911402
2020-07-31T00:00:00.000,215.81,268,214.74,251.02,425984424
2020-08-31T00:00:00.000,254.02,292.48,246.1,287.03,309700272
2020-09-30T00:00:00.000,289.2,299,264.56,293.98,235282442
2020-10-30T00:00:00.000,295.26,319.32,284.88,304.69,278228669
2020-11-30T00:00:00.000,310.95,311.44,252.55,263.36,584373494
2020-12-31T00:00:00.000,265.47,271.3,211.23,232.73,573851914
2021-01-29T00:00:00.000,226.5,269,220.09,253.83,493213157
2021-02-26T00:00:00.000,258.8,274.29,237.65,237.76,299885907
2021-03-31T00:00:00.000,241.05,242.79,220.42,226.73,375518718
2021-04-30T00:00:00.000,230.68,245.69,221.32,230.95,329065608
2021-05-28T00:00:00.000,231.27,236.1699,204.39,213.96,359280659
2021-06-30T00:00:00.000,223.02,230.89,208.2256,226.78,277202846
2021-07-30T00:00:00.000,228.07,228.85,179.6701,195.19,452385688
2021-08-31T00:00:00.000,196.27,203.275,152.8,166.99,659022346
2021-09-30T00:00:00.000,169.56,178.18,144.44,148.05,483929469
2021-10-29T00:00:00.000,147.09,182.09,138.43,164.94,472884716
2021-11-30T00:00:00.000,165.84,171.895,126.13,127.53,432573395
2021-12-31T00:00:00.000,128.37,129.4499,108.7,118.79,586890608
2022-01-31T00:00:00.000,119.38,138.7,110.06,125.79,487584046
2022-02-28T00:00:00.000,124.81,129.4,100.02,105.19,366866936
2022-03-31T00:00:00.000,105.85,124.1112,73.28,108.8,1153667777
2022-04-29T00:00:00.000,117.62,118.95,81.8,97.09,539187088
2022-05-31T00:00:00.000,96.41,102.69,78.01,96.05,482564693
2022-06-30T00:00:00.000,95.9,121.38,91.88,113.68,721830323
2022-07-29T00:00:00.000,113.63,125.84,89.11,89.37,504688813
2022-08-31T00:00:00.000,89.19,104.85,86.71,95.41,509927138
2022-09-30T00:00:00.000,92.75,94.84,76.28,79.99,341071370
2022-10-31T00:00:00.000,79.76,86.29,58.01,63.58,534616741
2022-11-30T00:00:00.000,68.01,89.625,63.4,87.56,645962257
2022-12-30T00:00:00.000,84.35,94.98,84.26,88.09,436422597
2023-01-31T00:00:00.000,91.11,121.3,90.75,110.2,439904420
2023-02-28T00:00:00.000,111.86,113.95,87.27,87.79,405674617
2023-03-31T00:00:00.000,92.92,105.05,79.48,102.18,662739169
2023-04-28T00:00:00.000,100.89,103.24,82.212,84.69,436303920
2023-05-31T00:00:00.000,84.15,91.43,77.77,79.55,468391170
2023-06-30T00:00:00.000,79.35,94.29,79.35,83.35,334304752
2023-07-31T00:00:00.000,84.87,102.5,82.64,102.16,422756992
2023-08-31T00:00:00.000,99.87,101.84,86.86,92.9,397737462
2023-09-29T00:00:00.000,94.55,96.68,83.76,86.74,229585442
2023-10-31T00:00:00.000,86.75,88.7963,79.02,82.54,256201292
2023-11-30T00:00:00.000,81.705,87.83,74.01,74.88,416579813
2023-12-29T00:00:00.000,73.12,77.79,70.08,77.51,413627202
2024-01-31T00:00:00.000,76.05,76.69,66.63,72.17,496812141
2024-02-29T00:00:00.000,73.155,78.34,70,74.03,402131331
2024-03-28T00:00:00.000,74.48,77.45,70.5825,72.36,268231195
2024-04-30T00:00:00.000,73.24,76.93,68.36,74.85,307589454
2024-05-31T00:00:00.000,74.99,90.46,74.87,78.34,487625434
2024-06-28T00:00:00.000,79,80.055,71.8,72,237340925
2024-07-31T00:00:00.000,72.51,81.01,71.97,78.85,257097232
2024-08-30T00:00:00.000,78.77,85.79,73.87,83.34,336436176
2024-09-30T00:00:00.000,81.78,112.22,80.3199,106.12,421920687
2024-10-31T00:00:00.000,106.42,117.82,95.52,97.98,522440020
2024-11-29T00:00:00.000,98.22,101.1,82.635,87.37,317776779
2024-12-31T00:00:00.000,86.94,94.12,81.7,84.79,283567828
2025-01-31T00:00:00.000,84.39,103.665,80.06,98.84,402709436
2025-02-28T00:00:00.000,96.505,145.3,96.07,132.51,829546230
2025-03-31T00:00:00.000,134.01,148.43,126.1,132.23,474971716
2025-04-30T00:00:00.000,132.75,134.1,95.73,119.43,605531992
2025-05-30T00:00:00.000,120.19,134.51,111.6,113.84,301531796
2025-06-30T00:00:00.000,114.9,123.46,111.26,113.41,244592327
2025-07-31T00:00:00.000,112.95,123.99,103.71,120.63,328509333
2025-08-29T00:00:00.000,118.06,136.65,116.11,135,304455362
2025-09-10T00:00:00.000,134.47,148,130.06,143.93,175813071
