,Open,High,Low,Close,Volume
2014-09-26T00:00:00.000,92.7,92.95,86.62,90.46,183924600
2014-10-03T00:00:00.000,89.62,90.88,85.611,88.1,113643638
2014-10-10T00:00:00.000,89.15,90.35,85.24,85.88,69240261
2014-10-17T00:00:00.000,86.85,90.9,82.81,87.91,79813602
2014-10-24T00:00:00.000,88,98,87.86,95.76,106091586
2014-10-31T00:00:00.000,97,100.67,96.3,98.6,122608113
2014-11-07T00:00:00.000,99.67,114.77,99.05,114.56,241735403
2014-11-14T00:00:00.000,117.27,120,113.35,115.1,292552294
2014-11-21T00:00:00.000,115.44,115.63,107.22,110.73,174305196
2014-11-28T00:00:00.000,112,115.17,111.11,111.64,63993566
2014-12-05T00:00:00.000,110.02,111.68,103.8961,107.9,96457040
2014-12-12T00:00:00.000,105.97,107.95,101.2,105.11,92662652
2014-12-19T00:00:00.000,106.39,111.2,103.7,110.65,93145082
2014-12-26T00:00:00.000,110.63,110.98,103.88,105.95,44505957
2015-01-02T00:00:00.000,105.95,107.66,102.52,103.6,40853420
2015-01-09T00:00:00.000,102.76,105.3399,99.9,103.02,68143653
2015-01-16T00:00:00.000,103.2,103.36,95.52,96.89,68854763
2015-01-23T00:00:00.000,98.3,105.2,97.59,103.11,48532879
2015-01-30T00:00:00.000,104.4,105.13,87.36,89.08,181698911
2015-02-06T00:00:00.000,91.13,91.88,85.42,85.68,93531006
2015-02-13T00:00:00.000,85.83,89.3,85.47,89.05,66343198
2015-02-20T00:00:00.000,88.78,88.99,86.38,86.64,38020333
2015-02-27T00:00:00.000,86.51,87.16,83.88,85.12,55988138
2015-03-06T00:00:00.000,85,86.27,80.03,84.4,116136463
2015-03-13T00:00:00.000,84.35,84.35,80.65,81.86,68083184
2015-03-20T00:00:00.000,82.01,87.04,81.94,85.2,121753959
2015-03-27T00:00:00.000,85.25,85.53,82.39,84.58,60828366
2015-04-02T00:00:00.000,85.03,85.15,81.25,82.28,56592022
2015-04-10T00:00:00.000,82.05,87.69,81.6139,84.58,94472084
2015-04-17T00:00:00.000,85.16,85.71,81.61,81.9,74561384
2015-04-24T00:00:00.000,82.25,84.99,81.52,84.57,69359353
2015-05-01T00:00:00.000,85.53,86.27,80.11,81.17,81710867
2015-05-08T00:00:00.000,81.17,89.29,77.77,87.06,178658928
2015-05-15T00:00:00.000,86.7,88.96,86.06,88.46,80356550
2015-05-22T00:00:00.000,87.61,95.06,86.47,93.27,126884346
2015-05-29T00:00:00.000,93.65,93.92,89.32,89.32,53257423
2015-06-05T00:00:00.000,90.09,91.6,89.49,90.71,49230966
2015-06-12T00:00:00.000,90.65,91.6,86.12,86.63,68028705
2015-06-19T00:00:00.000,86.3,87.8,85.17,85.74,53433566
2015-06-26T00:00:00.000,86.07,86.4,82.82,83.28,49576995
2015-07-02T00:00:00.000,81.64,83.69,80.8,82.07,40531015
2015-07-10T00:00:00.000,80.56,81.5,76.21,80.3,99791298
2015-07-17T00:00:00.000,80.92,83.7,80.21,83.36,50485309
2015-07-24T00:00:00.000,83.56,85.38,82,83.02,41289106
2015-07-31T00:00:00.000,80.85,81.7,78.2,78.34,51103475
2015-08-07T00:00:00.000,78.2,80.75,77.11,78.82,43254882
2015-08-14T00:00:00.000,79.86,80.99,71.03,74.76,111017728
2015-08-21T00:00:00.000,74.85,75.24,68.18,68.18,92114542
2015-08-28T00:00:00.000,58.16,71.59,58,70.07,116362392
2015-09-04T00:00:00.000,69.12,69.3,63.34,63.91,89278578
2015-09-11T00:00:00.000,65.78,66.81,60.25,64.63,114468702
2015-09-18T00:00:00.000,62.55,68.08,61.11,65.75,118318535
2015-09-25T00:00:00.000,65.38,66.4,58.21,59.24,97566594
2015-10-02T00:00:00.000,58.81,63.24,57.2,63.2,84386077
2015-10-09T00:00:00.000,63.47,69.45,62.2,68.71,72425714
2015-10-16T00:00:00.000,69.64,73.64,67.425,71.99,75038661
2015-10-23T00:00:00.000,71.8,75.76,68.89,75.62,72151326
2015-10-30T00:00:00.000,75.44,84.44,75.13,83.83,137793167
2015-11-06T00:00:00.000,83.52,86.42,80.77,83.61,108344708
2015-11-13T00:00:00.000,83.44,83.47,75.64,75.85,113763365
2015-11-20T00:00:00.000,75.83,80.785,75.77,79.95,82955731
2015-11-27T00:00:00.000,80.45,82.675,79.27,81.38,62972495
2015-12-04T00:00:00.000,81.5,85.82,81.38,84.85,199276665
2015-12-11T00:00:00.000,84.8,85.2,79.422,79.74,79705143
2015-12-18T00:00:00.000,80.15,85.32,78.99,82.65,66873766
2015-12-24T00:00:00.000,83.15,85.1,82.43,83.71,35882051
2015-12-31T00:00:00.000,82.56,83.51,81.25,81.27,29986764
2016-01-08T00:00:00.000,78.18,78.68,70.67,70.8,96920391
2016-01-15T00:00:00.000,71.29,73.239,67.541,69.59,81328522
2016-01-22T00:00:00.000,71.94,73.34,65.34,70.37,69258034
2016-01-29T00:00:00.000,70.8,73.15,65.4,67.03,103216652
2016-02-05T00:00:00.000,66.5,67.7399,60.87,62.64,103026914
2016-02-12T00:00:00.000,60.9,63.09,59.25,60.89,66559284
2016-02-19T00:00:00.000,64.42,68.5,64.04,67.28,63059394
2016-02-26T00:00:00.000,68.3,69.53,64.66,66.91,63864293
2016-03-04T00:00:00.000,67.64,72.96,67.56,72.22,64845019
2016-03-11T00:00:00.000,72.2,74.01,70.605,74.01,49648446
2016-03-18T00:00:00.000,74.01,76.3,71.75,76.25,49914417
2016-03-24T00:00:00.000,77.09,79.6804,73.53,75.86,44277374
2016-04-01T00:00:00.000,76.45,79.84,74.9,78.73,49891136
2016-04-08T00:00:00.000,78.33,79.55,76.621,77.47,47820627
2016-04-15T00:00:00.000,78.07,79.858,76.87,78.97,53474644
2016-04-22T00:00:00.000,78.52,85.89,77.71,79.89,54878218
