,Open,High,Low,Close,Volume
1999-11-12T00:00:00.000,84.81,90.75,84.37,89.19,270831600
1999-11-19T00:00:00.000,88.25,88.5,84.37,86,147891900
1999-11-26T00:00:00.000,89.62,93.37,88.37,91.12,121834600
1999-12-03T00:00:00.000,90.12,97.12,89.5,96.12,142022200
1999-12-10T00:00:00.000,95.25,97.19,91.44,93.87,115003700
1999-12-17T00:00:00.000,93.61,117.12,92.75,115.25,293469200
1999-12-23T00:00:00.000,114.81,119.25,110.62,117.44,83236700
1999-12-31T00:00:00.000,118.44,119.94,116.12,116.75,54560000
2000-01-07T00:00:00.000,117.37,118.62,107.31,111.44,144198600
2000-01-14T00:00:00.000,113.44,114.25,101.5,112.25,157400000
2000-01-21T00:00:00.000,111.81,116.5,103.25,103.75,151908900
2000-01-28T00:00:00.000,103.8,105.69,97.25,98.25,147333000
2000-02-04T00:00:00.000,97.62,108,94.87,106.56,148928900
2000-02-11T00:00:00.000,106.81,110,99.12,99.94,160705800
2000-02-18T00:00:00.000,101.23,101.75,94.87,95.06,188332600
2000-02-25T00:00:00.000,95.12,97.12,90.5,91.31,138589000
2000-03-03T00:00:00.000,90.25,98.87,88.12,96.12,224913400
2000-03-10T00:00:00.000,96,102.5,90.12,101,248374100
2000-03-17T00:00:00.000,97.62,100.25,93.25,99.37,173495700
2000-03-24T00:00:00.000,98.75,115,96.5,111.69,241909200
2000-03-31T00:00:00.000,107.77,108.94,102.37,106.25,192686000
2000-04-07T00:00:00.000,94.44,96.5,84.94,89.06,336642600
2000-04-14T00:00:00.000,88.62,88.62,73.25,74.12,265592500
2000-04-20T00:00:00.000,74.25,81.94,73,78.94,158834800
2000-04-28T00:00:00.000,67.25,71.12,65,69.75,368003400
2000-05-05T00:00:00.000,72.87,74,68.81,71.12,170300700
2000-05-12T00:00:00.000,70.94,71.37,65.75,68.81,130491400
2000-05-19T00:00:00.000,69,70.62,64.5,65.06,127885300
2000-05-26T00:00:00.000,65.12,66.56,60.38,61.44,181785700
2000-06-02T00:00:00.000,62.44,66.75,62,66.31,149237500
2000-06-09T00:00:00.000,66.02,72.12,66,68.81,185102700
2000-06-16T00:00:00.000,69,73.12,66.12,72.56,153922700
2000-06-23T00:00:00.000,72.56,82.19,72,77.69,203203100
2000-06-30T00:00:00.000,77.5,80.12,76.69,80,103811400
2000-07-07T00:00:00.000,79.69,82.87,78.25,82,76292800
2000-07-14T00:00:00.000,80.69,81.31,77.19,78.94,140124300
